X,Y,Shift,Age,Primary_fur_color,Location,Ground_Sighting_Measure,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from,Day,Plot_number,Section
-73.9561344937861,40.7940823884086,PM,Adult,Gray,Above Ground,10,False,False,False,False,False,False,False,False,False,False,False,False,False,14,37,F
-73.9688574691102,40.7837825208444,AM,Adult,Gray,Above Ground,10,False,False,False,False,False,False,False,False,False,False,False,False,False,19,21,B
-73.9742811484852,40.775533619083,PM,Adult,Gray,Above Ground,10,False,True,False,False,False,False,False,False,False,False,False,False,False,14,11,B
-73.9596413903948,40.7903128889029,PM,Adult,Gray,Above Ground,10,False,False,False,True,True,False,False,False,False,False,False,False,True,17,32,E
-73.9702676472613,40.7762126854894,AM,Adult,Gray,Above Ground,10,False,False,False,False,True,False,False,False,False,False,False,False,False,17,13,E
-73.9683613516225,40.7725908847499,AM,Adult,Cinnamon,Ground Plane,0,False,False,False,False,True,False,False,False,False,True,False,True,False,10,11,H
-73.9541201789795,40.7931811701082,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,False,10,36,H
-73.9582694312289,40.7917367820255,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,8,33,F
-73.9674285955293,40.7829723919744,PM,Adult,Gray,Ground Plane,0,False,False,False,False,False,False,False,False,True,True,False,False,False,6,21,C
-73.9722500196844,40.7742879599026,AM,Adult,Gray,Above Ground,30,False,False,True,False,False,False,False,False,False,False,False,True,False,10,11,D
-73.9695063535333,40.7823507678183,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,13,20,B
-73.9640032826529,40.7820309825448,PM,Adult,Gray,Ground Plane,0,True,False,False,False,False,False,False,False,False,True,False,True,False,14,22,F
-73.9532170504865,40.7919669739962,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,7,36,I
-73.9768603630674,40.7702795904962,PM,Adult,Cinnamon,Ground Plane,0,True,False,False,False,False,False,False,False,False,False,False,False,False,10,5,C
-73.9706105896967,40.7698124821507,AM,Adult,Gray,Above Ground,10,False,True,False,False,False,False,False,False,False,False,False,True,False,6,7,H
-73.9703781726172,40.7787526130321,PM,Adult,Gray,Above Ground,6,True,False,False,True,True,False,False,False,False,False,False,True,False,18,16,C
-73.9703925210471,40.7765032004992,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,8,14,E
-73.9638179439747,40.7924173263904,PM,Juvenile,Gray,Ground Plane,0,False,False,False,True,False,False,False,False,False,False,False,True,False,13,32,A
-73.9584070974734,40.7913812490557,AM,Adult,Gray,Ground Plane,0,False,False,False,False,False,False,False,False,False,False,False,True,False,8,33,F
-73.9671130680114,40.7784859700171,AM,Adult,Gray,Above Ground,24,True,False,False,False,False,False,False,False,True,False,False,True,False,7,17,F
-73.9649866016038,40.7764929694457,AM,Adult,Cinnamon,Ground Plane,0,False,False,False,False,True,False,False,False,False,True,False,True,False,8,16,I
-73.9670628558161,40.7734991420941,AM,Adult,Cinnamon,Ground Plane,0,False,False,False,False,False,False,False,False,False,True,False,False,True,13,12,I
